epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8395,1.02481,1.29561,1.22103,0.60545,0.84489,0.7508,0.48374,1.13938,3.72258,1.28831,0.00054889,0.00054889,0.00054889
2,32.7071,1.23481,1.191,1.34847,0.70292,0.74801,0.76078,0.47076,1.225,1.83294,1.40281,0.00109362,0.00109362,0.00109362
3,48.2385,1.30355,1.31526,1.401,0.50947,0.73568,0.52969,0.32639,1.36544,4.21711,1.50277,0.00162735,0.00162735,0.00162735
4,63.6846,1.37345,1.30413,1.46649,0.77758,0.67788,0.76856,0.47282,1.26484,1.95882,1.43026,0.00161749,0.00161749,0.00161749
5,79.3324,1.31019,1.13499,1.41382,0.85789,0.73806,0.8333,0.50395,1.33473,1.39197,1.4273,0.00160099,0.00160099,0.00160099
6,95.3889,1.21422,1.07933,1.34346,0.73047,0.72279,0.77873,0.44495,1.42087,1.39731,1.46474,0.00158448,0.00158448,0.00158448
7,111.575,1.20211,1.01354,1.34864,0.81969,0.77286,0.84709,0.569,1.16875,1.04527,1.33053,0.00156798,0.00156798,0.00156798
8,127.969,1.215,1.0065,1.33669,0.79255,0.79882,0.86359,0.57121,1.18438,1.03171,1.31331,0.00155148,0.00155148,0.00155148
9,144.563,1.18685,1.00509,1.3323,0.81593,0.7812,0.85408,0.55359,1.18682,1.07531,1.33004,0.00153497,0.00153497,0.00153497
10,161.157,1.17893,0.92685,1.30648,0.84614,0.83918,0.91695,0.6129,1.09734,0.88879,1.25889,0.00151847,0.00151847,0.00151847
11,178.354,1.12201,0.93377,1.29371,0.90611,0.78974,0.89768,0.61608,1.0719,0.91782,1.25381,0.00150197,0.00150197,0.00150197
12,195.196,1.14772,0.90674,1.31772,0.81989,0.80525,0.87326,0.58961,1.11409,1.06672,1.28846,0.00148546,0.00148546,0.00148546
13,212.035,1.10025,0.89854,1.2704,0.88146,0.84879,0.91067,0.60587,1.1295,0.82944,1.24888,0.00146896,0.00146896,0.00146896
14,228.967,1.10009,0.85876,1.26678,0.85163,0.85339,0.90505,0.62996,1.04969,0.8212,1.21179,0.00145246,0.00145246,0.00145246
15,246.119,1.10062,0.86256,1.24749,0.89501,0.82229,0.90021,0.62824,1.10434,0.86274,1.24192,0.00143595,0.00143595,0.00143595
16,263.197,1.07605,0.84875,1.25026,0.89012,0.89639,0.91908,0.66582,0.928,0.73871,1.14211,0.00141945,0.00141945,0.00141945
17,280.543,1.04991,0.81715,1.23797,0.85905,0.85372,0.9082,0.61247,1.07662,0.85754,1.21066,0.00140295,0.00140295,0.00140295
18,297.79,1.09232,0.82349,1.2646,0.90024,0.78847,0.90285,0.63894,0.97761,0.74939,1.19608,0.00138644,0.00138644,0.00138644
19,315.247,1.06906,0.81035,1.25979,0.85863,0.80599,0.8996,0.61359,1.04244,0.81782,1.19205,0.00136994,0.00136994,0.00136994
20,332.691,1.05456,0.80006,1.21499,0.84685,0.84913,0.89911,0.63328,1.02977,0.82536,1.20962,0.00135344,0.00135344,0.00135344
21,350.082,1.01394,0.77845,1.21634,0.90134,0.82592,0.89897,0.61515,1.11463,0.82867,1.25656,0.00133693,0.00133693,0.00133693
22,367.575,1.00358,0.7624,1.2102,0.90185,0.84188,0.92164,0.66649,0.99328,0.76407,1.16846,0.00132043,0.00132043,0.00132043
23,385.292,1.02221,0.76924,1.2167,0.82631,0.88226,0.91332,0.65998,0.95937,0.77075,1.15958,0.00130393,0.00130393,0.00130393
24,402.749,1.0015,0.74755,1.19067,0.83283,0.84487,0.89782,0.64257,1.02636,0.78704,1.185,0.00128742,0.00128742,0.00128742
25,420.466,1.01509,0.76454,1.21634,0.91068,0.83526,0.90828,0.66049,0.99238,0.72895,1.13886,0.00127092,0.00127092,0.00127092
26,438.108,0.98346,0.70328,1.1634,0.87645,0.844,0.9239,0.65837,1.00641,0.71996,1.1708,0.00125442,0.00125442,0.00125442
27,455.845,1.00011,0.73394,1.20765,0.85399,0.85089,0.90599,0.6549,0.99434,0.76332,1.16037,0.00123791,0.00123791,0.00123791
28,473.37,0.9616,0.70287,1.17843,0.90396,0.82842,0.92013,0.67676,0.93171,0.71173,1.1366,0.00122141,0.00122141,0.00122141
29,491.226,0.95261,0.68217,1.18541,0.85088,0.88273,0.93278,0.69329,0.96049,0.67548,1.14886,0.00120491,0.00120491,0.00120491
30,509.064,0.92449,0.67056,1.15044,0.90137,0.83526,0.92224,0.67308,0.96157,0.67707,1.15872,0.0011884,0.0011884,0.0011884
31,527.003,0.94571,0.66462,1.15304,0.90109,0.8541,0.93051,0.67381,0.93773,0.63536,1.13328,0.0011719,0.0011719,0.0011719
32,544.821,0.90177,0.65451,1.14107,0.88097,0.88503,0.92781,0.6747,0.9745,0.66189,1.15123,0.0011554,0.0011554,0.0011554
33,562.499,0.89023,0.62599,1.12368,0.85199,0.87372,0.91264,0.68359,0.89897,0.7176,1.11598,0.00113889,0.00113889,0.00113889
34,580.272,0.89985,0.64058,1.14118,0.88801,0.83003,0.90516,0.67996,0.92685,0.71579,1.11968,0.00112239,0.00112239,0.00112239
35,598.171,0.88194,0.61167,1.13697,0.89112,0.8872,0.92119,0.66501,1.02192,0.65981,1.17035,0.00110589,0.00110589,0.00110589
36,616.091,0.87889,0.61819,1.11912,0.82459,0.91764,0.91139,0.65252,0.9709,0.67956,1.16823,0.00108938,0.00108938,0.00108938
37,634.084,0.89399,0.601,1.12222,0.87942,0.88077,0.90573,0.6428,1.01884,0.79031,1.17919,0.00107288,0.00107288,0.00107288
38,651.86,0.85734,0.58348,1.11495,0.86192,0.88486,0.91248,0.68458,0.91946,0.69386,1.13669,0.00105638,0.00105638,0.00105638
39,669.743,0.85365,0.61282,1.12441,0.88652,0.8818,0.9272,0.66911,0.95253,0.66339,1.15113,0.00103987,0.00103987,0.00103987
40,687.787,0.87084,0.60648,1.12518,0.8582,0.88632,0.92808,0.67965,0.92691,0.65549,1.11567,0.00102337,0.00102337,0.00102337
41,705.714,0.83673,0.59171,1.10545,0.90885,0.87416,0.92105,0.68811,0.90592,0.68452,1.10595,0.00100687,0.00100687,0.00100687
42,723.903,0.85926,0.60955,1.11455,0.88331,0.87671,0.92468,0.69853,0.87737,0.6857,1.09784,0.000990365,0.000990365,0.000990365
43,742.308,0.83128,0.59572,1.10009,0.86876,0.86474,0.91521,0.6844,0.93683,0.70776,1.13406,0.000973861,0.000973861,0.000973861
44,760.382,0.84025,0.56883,1.10668,0.85314,0.90598,0.92425,0.69613,0.89182,0.68655,1.10419,0.000957358,0.000957358,0.000957358
45,778.572,0.83456,0.559,1.09326,0.88142,0.8794,0.92094,0.68159,0.94857,0.6744,1.13938,0.000940855,0.000940855,0.000940855
46,796.608,0.81966,0.5451,1.08732,0.91873,0.87391,0.92414,0.68383,0.92709,0.65073,1.12713,0.000924352,0.000924352,0.000924352
47,814.761,0.82296,0.54946,1.07781,0.91383,0.83269,0.90156,0.65841,0.94673,0.69806,1.13062,0.000907848,0.000907848,0.000907848
48,832.84,0.80051,0.55157,1.08659,0.9047,0.85855,0.92276,0.68636,0.92498,0.61856,1.12298,0.000891345,0.000891345,0.000891345
49,851.234,0.7907,0.53754,1.08227,0.92549,0.83908,0.92185,0.69342,0.8874,0.63421,1.10016,0.000874842,0.000874842,0.000874842
50,869.676,0.81132,0.53303,1.08429,0.91084,0.86004,0.92152,0.68145,0.89676,0.64376,1.10972,0.000858338,0.000858338,0.000858338
51,887.979,0.79018,0.50929,1.06639,0.84427,0.88632,0.93655,0.69728,0.92197,0.60355,1.12621,0.000841835,0.000841835,0.000841835
52,906.292,0.78954,0.51763,1.0708,0.91689,0.85855,0.92381,0.70178,0.91389,0.63071,1.11335,0.000825332,0.000825332,0.000825332
