epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.97052,1.21552,2.44333,1.26842,0.7467,0.79167,0.79405,0.5422,1.10369,3.00079,1.33287,0.00020004,0.00020004,0.00020004
2,6.82992,1.16197,1.83632,1.2571,0.73668,0.63101,0.75333,0.47372,1.36393,4.2014,1.55078,0.000412624,0.000412624,0.000412624
3,9.62314,1.23314,1.62582,1.31498,0.81125,0.625,0.77553,0.39371,1.6687,2.6991,1.7257,0.000620917,0.000620917,0.000620917
4,12.3936,1.21429,1.5629,1.2566,0.68894,0.625,0.58664,0.34346,1.60321,6.38846,1.72035,0.00082492,0.00082492,0.00082492
5,15.2017,1.35901,1.65185,1.34337,0.52759,0.58333,0.43101,0.26409,2.10016,17.2145,2.57697,0.00102463,0.00102463,0.00102463
6,17.989,1.41548,1.85132,1.4271,0.50559,0.47954,0.50756,0.31508,2.13497,3.99934,2.79438,0.00122005,0.00122005,0.00122005
7,20.7373,1.34526,1.90706,1.36496,0.21633,0.45833,0.17968,0.07001,1.80608,6.93911,2.50373,0.00141118,0.00141118,0.00141118
8,23.5002,1.35586,2.01265,1.44164,0.29771,0.33333,0.23068,0.12068,1.4505,3.87557,1.9188,0.00155148,0.00155148,0.00155148
9,26.2398,1.35636,2.06966,1.41896,0.29771,0.33333,0.23068,0.12068,1.4505,3.87557,1.9188,0.00153497,0.00153497,0.00153497
10,29.0049,1.42339,1.83446,1.46259,0.25786,0.40912,0.21241,0.1008,1.79399,4.84735,2.24941,0.00151847,0.00151847,0.00151847
11,31.7443,1.4738,1.8942,1.53039,0.51978,0.66667,0.42049,0.21469,1.90659,17.7013,2.29828,0.00150197,0.00150197,0.00150197
12,34.5123,1.50982,1.96943,1.53505,0.42734,0.79167,0.61131,0.33201,1.76519,4.85348,2.17152,0.00148546,0.00148546,0.00148546
13,37.2962,1.50681,1.80772,1.51333,0.58144,0.66667,0.72323,0.43853,1.58072,6.38579,2.01653,0.00146896,0.00146896,0.00146896
14,40.108,1.3775,1.61631,1.45524,0.53461,0.625,0.51455,0.34886,2.00316,7.64717,2.60761,0.00145246,0.00145246,0.00145246
15,42.9081,1.50835,1.8028,1.45498,0.53461,0.625,0.51455,0.34886,2.00316,7.64717,2.60761,0.00143595,0.00143595,0.00143595
16,45.7053,1.48164,1.60153,1.53883,0.01008,0.45833,0.00731,0.00234,2.67305,129.028,3.11549,0.00141945,0.00141945,0.00141945
17,48.5122,1.35873,1.40937,1.4161,0.50729,0.61834,0.34191,0.24489,2.09589,70.1599,2.53043,0.00140295,0.00140295,0.00140295
18,51.3155,1.27559,1.25869,1.40084,0.49052,0.625,0.43868,0.34124,2.0524,14.6558,2.72496,0.00138644,0.00138644,0.00138644
19,54.1095,1.27838,1.30822,1.37086,0.58607,0.45833,0.48909,0.31238,1.73538,5.23775,1.9026,0.00136994,0.00136994,0.00136994
20,56.9074,1.36842,1.36979,1.42905,0.58607,0.45833,0.48909,0.31238,1.73538,5.23775,1.9026,0.00135344,0.00135344,0.00135344
21,59.7489,1.21661,1.22098,1.37247,0.57412,0.54167,0.53382,0.31964,1.88806,2.83283,2.02203,0.00133693,0.00133693,0.00133693
22,62.5601,1.18998,1.18998,1.30934,0.43936,0.65533,0.49434,0.29925,2.10739,7.68989,2.34589,0.00132043,0.00132043,0.00132043
23,65.4,1.26533,1.28035,1.37728,0.58248,0.63636,0.62502,0.38583,1.67543,2.54729,1.89105,0.00130393,0.00130393,0.00130393
24,68.207,1.19351,1.26693,1.33976,0.73269,0.625,0.65104,0.3875,1.62422,2.07818,1.76834,0.00128742,0.00128742,0.00128742
25,71.0477,1.23282,1.15206,1.27108,0.73269,0.625,0.65104,0.3875,1.62422,2.07818,1.76834,0.00127092,0.00127092,0.00127092
26,73.8819,1.19444,1.09583,1.27281,0.83528,0.625,0.67471,0.41987,1.58656,1.73383,1.6669,0.00125442,0.00125442,0.00125442
27,76.7407,1.16666,1.04725,1.26651,0.77916,0.73184,0.7425,0.48875,1.45678,1.77329,1.70359,0.00123791,0.00123791,0.00123791
28,79.6496,1.16026,1.10942,1.29159,0.7223,0.70833,0.72991,0.47902,1.44761,2.01238,1.73166,0.00122141,0.00122141,0.00122141
29,82.6262,1.15325,1.00038,1.29802,0.75682,0.70833,0.72667,0.49998,1.42009,2.19757,1.69388,0.00120491,0.00120491,0.00120491
30,85.5451,1.08135,0.93829,1.21043,0.6911,0.91667,0.78062,0.53048,1.32755,1.97091,1.61339,0.0011884,0.0011884,0.0011884
31,88.4365,1.07854,0.89015,1.2336,0.6911,0.91667,0.78062,0.53048,1.32755,1.97091,1.61339,0.0011719,0.0011719,0.0011719
32,91.36,1.11457,0.94976,1.29634,0.77748,0.91667,0.83576,0.54641,1.23323,1.78218,1.50523,0.0011554,0.0011554,0.0011554
33,94.4201,1.0884,0.92054,1.1918,0.76325,0.86442,0.80969,0.50256,1.31222,1.64414,1.53314,0.00113889,0.00113889,0.00113889
34,97.3286,1.09715,0.96349,1.23124,0.82747,0.70833,0.82316,0.48659,1.4715,1.71835,1.83525,0.00112239,0.00112239,0.00112239
35,100.301,1.15946,0.91529,1.23296,0.84869,0.75064,0.83935,0.56299,1.28028,1.08894,1.56942,0.00110589,0.00110589,0.00110589
36,103.318,1.17505,0.87113,1.24884,0.84869,0.75064,0.83935,0.56299,1.28028,1.08894,1.56942,0.00108938,0.00108938,0.00108938
37,106.37,1.12332,0.8888,1.23643,0.79536,0.82324,0.83073,0.59145,1.11934,1.0579,1.41739,0.00107288,0.00107288,0.00107288
38,109.401,1.03014,0.81339,1.14698,0.83766,0.75567,0.86284,0.58762,1.12546,1.20943,1.51154,0.00105638,0.00105638,0.00105638
39,112.318,1.04473,0.86948,1.17416,0.74439,0.88256,0.86109,0.57793,1.25699,1.13575,1.71878,0.00103987,0.00103987,0.00103987
40,115.384,0.94777,0.77184,1.14639,0.78061,0.82359,0.79137,0.55603,1.1683,1.17181,1.50299,0.00102337,0.00102337,0.00102337
41,118.299,1.09077,0.82227,1.16109,0.78061,0.82359,0.79137,0.55603,1.1683,1.17181,1.50299,0.00100687,0.00100687,0.00100687
42,121.313,1.05011,0.85963,1.21302,0.71869,0.91667,0.80589,0.573,1.11225,1.14507,1.40933,0.000990365,0.000990365,0.000990365
43,124.243,1.04185,0.88917,1.22306,0.78244,0.90775,0.83011,0.58066,1.08811,0.94058,1.39261,0.000973861,0.000973861,0.000973861
44,127.196,1.03057,0.85132,1.23105,0.72018,0.91534,0.85368,0.5539,1.13074,0.95552,1.44821,0.000957358,0.000957358,0.000957358
45,130.248,0.97392,0.85503,1.18373,0.74014,0.95833,0.85977,0.59258,1.08584,0.96137,1.36095,0.000940855,0.000940855,0.000940855
46,133.328,0.97705,0.80792,1.16566,0.84972,0.875,0.8944,0.64783,1.02022,0.85996,1.33925,0.000924352,0.000924352,0.000924352
47,136.418,0.91647,0.76059,1.14455,0.84972,0.875,0.8944,0.64783,1.02022,0.85996,1.33925,0.000907848,0.000907848,0.000907848
